Country,Company,BaseRate,Inflation,GDP,RegulationScore,LoanAmount,LoanTerm,LoanRate
Japan,AutoGmbH,2.814,1.8707,0.8121,5.8054,5579172,16,7.05
Germany,AgriTech,3.4526,2.3113,2.2902,6.3177,5422280,10,2.32
Germany,ElectronicsInc,5.0256,3.4911,4.0269,9.7827,260629,15,9.29
India,RetailWorld,4.9184,4.5594,4.0914,6.523,3699514,17,10.76
China,HealthPlus,3.3481,3.6594,1.4712,7.6779,8365188,10,8.15
Brazil,AutoGmbH,2.038,3.1112,2.7583,8.7583,2569555,23,5.87
Canada,RetailWorld,8.7999,0.9754,3.1481,8.2889,6409187,15,11.74
Canada,HealthPlus,1.6703,4.3798,2.8109,5.1229,8234585,20,10.56
India,AutoGmbH,8.1779,4.4669,2.0652,7.9886,8248534,6,9.79
Australia,AgriTech,2.2209,4.4342,3.1942,7.3873,746362,6,7.29
China,RetailWorld,6.4582,1.9174,4.222,8.1528,2980231,20,11.64
Germany,LogisticsHub,7.3976,1.6016,1.471,5.7599,1829813,11,9.62
Japan,FinanceCo,4.584,1.8596,1.3276,8.3706,460287,12,11.03
Australia,LogisticsHub,9.6716,3.3363,3.9856,7.9172,9932527,7,5.63
Australia,AgriTech,9.7485,3.3404,2.5551,9.3032,1790728,13,4.46
China,PharmaCare,2.5678,4.3986,4.312,5.6452,2258607,9,11.55
USA,TechCorp,2.1701,2.4664,2.9652,8.2872,535182,17,2.11
UK,FinanceCo,1.3748,1.4113,2.7712,6.6133,6781603,7,7.38
Canada,FinanceCo,3.3342,1.8656,1.0321,7.4599,7034595,6,10.6
UK,RetailWorld,1.3932,2.5803,4.6308,8.1979,7575087,6,8.01
Japan,ElectronicsInc,1.5436,3.0584,3.0659,8.887,6155690,16,9.75
Australia,TechCorp,3.5678,2.2542,2.434,9.3225,9688443,16,8.38
Brazil,EnergySolutions,6.3634,0.507,3.2217,9.4153,8312807,12,5.72
Japan,LogisticsHub,1.3392,4.9744,3.0324,8.6137,950877,23,5.36
UK,EnergySolutions,1.9863,3.5014,0.6914,8.1093,9977219,22,5.93
UK,AgriTech,5.1425,2.2356,3.9106,7.6087,653579,7,9.57
Canada,AgriTech,4.1865,2.6517,3.2982,7.7334,3036515,7,3.7
USA,FinanceCo,6.6462,2.0594,3.2757,8.8859,1961679,16,9.46
UK,EnergySolutions,6.9073,1.4289,2.6319,9.3968,549983,10,3.69
Canada,RetailWorld,9.0918,1.4595,3.1068,8.5854,473587,9,4.58
Japan,LogisticsHub,6.2345,1.1275,1.2473,6.4028,4898834,22,11.76
Brazil,RetailWorld,2.035,4.393,4.7924,5.5579,572193,7,11.55
India,ElectronicsInc,2.2052,2.2863,4.1135,6.1944,4626226,24,5.55
France,RetailWorld,4.0183,4.8079,2.3049,8.7558,7356545,22,11.22
UK,RetailWorld,7.6227,4.0286,4.4634,5.3846,2618299,25,10.09
France,EnergySolutions,1.5719,2.1926,1.3512,8.8255,9772004,20,6.34
China,EnergySolutions,2.1585,2.9055,3.531,5.4013,1573962,14,3.29
China,AutoGmbH,9.72,1.4891,4.5799,6.3096,6316051,8,7.18
USA,ElectronicsInc,6.988,1.8214,1.9152,9.7661,2462051,23,5.55
Australia,PharmaCare,6.074,2.4626,4.9343,8.1449,5366052,23,7.9
Japan,LogisticsHub,4.1449,1.6836,3.5015,7.3742,6263008,14,4.44
Canada,PharmaCare,7.8331,2.7763,3.8988,6.7361,6752671,19,7.68
Japan,RetailWorld,9.2618,3.1064,0.9096,8.5822,5152228,16,3.5
Brazil,RetailWorld,3.0064,0.6089,3.1403,5.3471,456862,19,3.77
USA,HealthPlus,7.2938,3.1097,1.2954,9.0193,4579932,23,6.82
France,FinanceCo,7.7758,2.3926,0.8146,9.1984,2370400,22,11.56
China,EnergySolutions,2.5263,1.2704,0.8646,8.6641,2881703,16,10.32
Australia,RetailWorld,6.0699,2.9241,4.6592,6.3238,7262210,16,5.35
France,AgriTech,6.7525,4.284,4.425,5.1168,620502,13,8.43
Brazil,TechCorp,7.6132,4.0101,0.5327,9.6677,1718628,25,3.24
USA,FinanceCo,9.2556,4.3126,1.4318,6.156,3673737,20,9.36
China,FinanceCo,5.7949,1.1692,1.5606,8.824,4661657,17,6.73
China,HealthPlus,2.5097,1.5018,0.9374,5.8827,6279541,10,7.78
UK,AgriTech,3.1082,1.422,1.9012,7.3412,5992579,21,6.1
Japan,AgriTech,3.6805,4.7726,1.5001,9.9306,3639104,24,8.54
Australia,FinanceCo,4.29,1.0279,1.394,8.5628,8182164,14,7.47
USA,PharmaCare,5.6257,1.9084,3.6461,9.607,6455779,25,5.39
Australia,RetailWorld,8.3979,2.8691,4.1417,5.3056,379948,18,10.11
Germany,TechCorp,3.712,1.6001,1.1327,5.6839,2894937,19,5.97
Brazil,RetailWorld,2.4553,3.4547,2.0499,9.1521,558696,7,4.99
Japan,PharmaCare,5.9845,4.1992,1.4842,6.4731,2298115,11,8.46
Germany,ElectronicsInc,6.5923,3.9619,4.5191,5.6739,8735277,17,5.56
Brazil,LogisticsHub,5.674,1.8038,0.5584,8.222,9434175,13,5.68
China,HealthPlus,7.3856,0.5847,3.6886,7.7227,6571412,23,4.28
UK,AgriTech,3.5093,1.4062,4.4327,5.5044,7839815,16,7.27
UK,ElectronicsInc,3.0871,1.3624,2.9458,7.7609,1935374,8,7.66
India,FinanceCo,7.2163,4.8953,2.6327,6.7344,9460169,13,7.17
Japan,AgriTech,9.2854,4.6836,0.938,9.7862,6421012,7,5.38
UK,LogisticsHub,2.5211,4.9218,3.318,7.8271,4515601,19,5.61
China,HealthPlus,3.3462,1.887,3.3695,7.6924,4913062,22,8.57
Australia,AutoGmbH,3.4533,0.6595,1.5346,9.0056,8507024,6,5.24
Brazil,AutoGmbH,7.6388,4.9604,4.3112,7.7753,6162196,11,4.48
China,RetailWorld,1.883,1.3106,4.3666,8.1069,5792382,14,9.58
Germany,TechCorp,1.6217,4.5242,3.2433,7.8113,5814792,14,6.52
Australia,HealthPlus,5.4981,4.9204,3.292,7.6561,8883805,21,2.39
Brazil,AutoGmbH,3.5978,0.7863,4.1614,6.3958,1075450,18,4.23
India,AgriTech,4.0381,0.8299,4.0878,9.4259,4034128,6,10.03
China,PharmaCare,8.8045,0.6646,1.6593,6.0299,8538066,10,6.33
Canada,LogisticsHub,5.2897,3.6262,3.7806,5.3289,6120907,16,10.91
UK,AutoGmbH,2.226,2.4112,4.4694,8.3002,7485076,17,2.19
France,ElectronicsInc,7.6551,3.6771,0.8827,8.6094,2396772,22,3.22
Japan,AutoGmbH,6.4856,0.7333,3.2702,8.7248,1934994,14,4.64
India,LogisticsHub,5.1468,3.6847,3.8145,8.2382,9375442,11,2.51
USA,AgriTech,1.8424,1.1335,0.6784,9.5824,4066071,15,6.03
USA,LogisticsHub,5.1245,1.0521,1.2343,6.3659,4936872,9,10.99
France,AgriTech,9.6138,2.6665,0.9746,9.5982,1801249,15,5.89
Japan,ElectronicsInc,3.6737,2.0661,2.6045,6.8781,9835228,8,7.37
Germany,EnergySolutions,1.4035,3.8067,4.0548,7.8024,1378935,17,3.9
